sifra proizvoda,naziv proizvoda,sifra sirovine,naziv sirovine,jedinica mjere sirovine,količina,jedinica mjere,dužina,širina,visina,komada,kantiranje
124,AGRO 180 x 200,75,Štof MONOLITH,m,2.7,Sijeda,,,,,
124,AGRO 180 x 200,75,Štof MONOLITH,m,3,Korpus(baza),,,,,
124,AGRO 180 x 200,75,Štof MONOLITH,m,3.4,Uzglavlje,,,,,
124,AGRO 180 x 200,75,Štof okolica MONOLITH,m,2.6,Madrac,,,,,
124,AGRO 180 x 200,83,Unit Matica M6 ili M8 ,kom,16,Korpus(baza),,,,,
124,AGRO 180 x 200,86,Ljepilo za drvo Vinavil 2252 ,kg,0.25,Sijeda,,,,,
124,AGRO 180 x 200,86,Ljepilo za drvo Vinavil 2252  ,kg,0.06,Uzglavlje,,,,,
124,AGRO 180 x 200,88,Reteks 14 gr 210 ,m2,10.75,Madrac,210,205,,2.5,
124,AGRO 180 x 200,90,Podloška M8,kom,2,Uzglavlje,,,,,
124,AGRO 180 x 200,115,Drvena nogica VINKLO 150x150x55 crna,KOM,2,Korpus(baza),,,,,
124,AGRO 180 x 200,226,Torban vijak M6x100 cink T,kom,2,Korpus(baza),,,,,
124,AGRO 180 x 200,231,"Vijak DIN 933-8.8, M8x40 ",kom,2,Uzglavlje,,,,,
124,AGRO 180 x 200,246,Podloška M6,kom,2,Korpus(baza),,,,,
124,AGRO 180 x 200,384,Mehanizam - Škara Sanduk srednji EXSAN -Makaze ,par,2,Korpus(baza),,,,,
124,AGRO 180 x 200,387,Leptir matica,kom,2,Uzglavlje,,,,,
124,AGRO 180 x 200,389,Vijak mašinski 6x20,kom,8,Korpus(baza),,,,,
124,AGRO 180 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.1,Korpus(baza),,,,,
124,AGRO 180 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.12,Sijeda,,,,,
124,AGRO 180 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.12,Uzglavlje,,,,,
124,AGRO 180 x 200,398,Ljepilo intercoll 1718 1/170 S,kg,0.7,Madrac,,,,,
124,AGRO 180 x 200,498,Filc tvrdi 500 gr/m 210x2500,kg,2.15,Madrac,210,205,0.5,1,
124,AGRO 180 x 200,503,Džepičasto jezgro 188x168x14 ,kom,1,Madrac,,,,,
124,AGRO 180 x 200,520,Platno za madrace J49 280 gr. JT,m,4.1,Madrac,,,,2,
