sifra proizvoda,naziv proizvoda,opis,dimenzije,tip,grupa artikla,jedinica mjere,neaktivan,valuta,dio,dimenzije dijela,napomene dijela,naziv koraka,odjel,procijenjeno vrijeme,instrukcije,sifra sirovine,naziv sirovine,količina,komada,Duzina,Sirina,Visina,kantiranje,cijena bez PDV,procenat PDV
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,397,"Žica za varenje za CO2 0,8 mm",2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,54,Amortizer 750 S,2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,386,Brezon vijak M8x8,2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,391,Čelični ekser ST 25 za bazu,0.05,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,494,"Dvostrana iverica 210x280x0,8 mm",1.865,1,186.5,78,0.8,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,503,Džepičasto jezgro 144x184x18  24x29,1,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,498,Filc 900 gr,1.41,0.5,198,0.9,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",0.5,1,200,25,0.8,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",0.9,1,90,25,0.8,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",1.94,1,194,84,0.8,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",1.008,1,160,63,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",0.225,1,125,18,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,1132,Karton za bazu 90x200,2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,1273,Keder za tapaciranje,5,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,34,KLAMERICA 14/35 PAK 10000/1,0.2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,32,Klamerica 380/10 delta 10.000/1 M,2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,390,Klizač za uzglavlje 19cm,2,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,387,Leptir matica M8 PVC,4,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,398,Ljepilo za spužvu,0.007,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,398,Ljepilo za spužvu,0.007,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,398,Ljepilo za spužvu,0.007,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,427,Madrac platno 10008386 (65 gr) AT,0.9,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,STROLARI,,,520,Madrac platno 280 gr 50022324,0.9,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,384,Makaze za bazu,1,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,389,Mašinac 8x25,11,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,396,Matica M6,4,,,,,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,415,"METALNI PROFILI 20X20X0,8",3.925,5,78.5,20,20,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,415,"METALNI PROFILI 20X20X0,8",3.32,4,83,20,20,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,415,"METALNI PROFILI 20X20X0,8",1.7,2,85,20,20,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,415,"METALNI PROFILI 20X20X0,8",2.97,15,19.8,20,20,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,415,"METALNI PROFILI 20X20X0,8",3.98,2,199,20,20,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,416,METALNI PROFILI 20X30X1,0.785,1,78.5,20,30,,,17
413,PALERMO 90X200 krevet + madrac,,90X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,416,METALNI PROFILI 20X30X1,3.98,2,199,20,30,,,17
