"Demo Company d.o.o.
76100 Brčko, Brod bb
JIB: 4600471110010   PDV: 600471110002
žiro-račun: 
",,,,,,
txtNazivSkladista,txtNazivKategorijeArtikla,RedniBroj,Sifra,NazivArtikla,JedinicaMjere,KOLICINA
Sirovine,,,,,,
,sirovina,,,,,
,,249,345,Štof Cremona 02,m,51.00
,,250,1296,Štof Cremona 81,m,9.00
,,251,1297,Štof ELEGANT WISH 02,m,45.30
,,252,79,Štof Europa 103 S,m,0.00
,,253,459,Štof Ferrum 102 AL,m,118.20
,,254,275,Štof Helena 103,m,201.60
,,255,277,Štof Helena 118,m,69.10
,,256,82,Štof Helena 135,m,26.00
,,257,191,Štof Helena 34,m,122.20
,,258,611,Štof Helena 79,m,334.70
,,259,625,Štof Jasmine 24,m,41.00
,,260,697,Štof Jupiter 106,m,10.00
,,261,1149,Štof Landscape 95,m,15.00
,,262,509,Štof Letto 11,m,16.00
,,263,580,Štof Loris 01,m,39.50
,,264,305,Štof Loris 05,m,25.00
,,265,354,Štof Loris 09,m,30.00
,,266,355,Štof Loris 14,m,8.00
,,267,9,Štof Loris 16,m,20.00
,,268,490,Štof Loris 39,m,17.00
,,269,842,Štof Loris 77,m,8.01
,,270,351,Štof Loris 79,m,7.50
,,271,117,Štof Loris 90,m,59.10
,,272,432,Štof Lotus 16,m,5.00
,,273,378,Štof Luis 16,m,9.00
,,274,1239,Štof Luis 85,m,3.00
,,275,480,Štof MALMO NEW 94,m,46.00
,,276,368,Štof MALMO NEW 96,m,11.01
,,277,218,Štof Matt Velvet 06,m,307.00
,,278,217,Štof Matt Velvet 08,m,297.70
,,279,6,Štof Matt Velvet 09,m,139.30
,,280,855,Štof Matt Velvet 29,m,22.00
,,281,750,Štof Matt Velvet 34,m,21.50
,,282,749,Štof Matt Velvet 38,m,24.80
,,283,252,Štof Matt Velvet 61,m,48.50
,,284,483,Štof Matt Velvet 73,m,57.60
,,285,24,Štof Matt Velvet 74,m,8.00
,,286,10,Štof Matt Velvet 77,m,21.50
,,287,27,Štof Matt Velvet 79,m,12.50
,,288,350,Štof Matt Velvet 83,m,10.00
,,289,343,Štof Matt Velvet 85,m,45.00
,,290,349,Štof Matt Velvet 93,m,40.00
,,291,211,Štof Matt Velvet 97,m,65.90
,,292,1150,Štof Mirage 102 S,m,27.00
,,293,980,Štof MISTERIO 03,m,103.61
,,294,519,Štof MISTERIO 04,m,553.70
,,295,981,Štof MISTERIO 14,m,19.01
,,296,982,Štof MISTERIO 72,m,8.01
,,297,983,Štof MISTERIO 80,m,81.61
,,298,984,Štof MISTERIO 82,m,51.01
,,299,1068,Štof MISTERIO 90,m,37.50
,,300,862,Štof Moca 10,m,221.00
,,301,946,Štof Moly 37,m,8.01
,,302,20,Štof Monolith 02,m,31.10
,,303,119,Štof Monolith 04,m,18.50
,,304,202,Štof Monolith 09,m,4.50
,,305,559,Štof Monolith 20,m,15.00
,,306,230,Štof Monolith 37,m,40.90
,,307,221,Štof Monolith 38,m,29.00
,,308,1265,Štof Monolith 69,m,16.00
,,309,514,Štof Monolith 70,m,24.00
,,310,181,Štof Monolith 76,m,14.00
,,311,201,Štof Monolith 77,m,51.00
,,312,75,Štof Monolith 84,m,112.20
,,313,19,Štof Monolith 85,m,105.70
,,314,18,Štof Monolith 92,m,122.80
,,315,899,Štof Monolith 95,m,46.35
,,316,507,Štof Monolith 97,m,7.00
,,317,1200,Štof Montana 107 (Terra 107),m,128.00
,,318,947,Štof Monte 03,m,51.80
,,319,1066,Štof Mossa 89,m,10.00
,,320,460,Štof Nabuk 101,m,21.51
,,321,896,Štof Nabuk 103,m,-874.40
,,322,614,Štof Nabuk 108,m,42.30
,,323,856,Štof Neve 80,m,8.00
,,324,1144,Štof Neve 85,m,20.00
,,325,366,Štof Neve 97,m,60.00
,,326,1069,Štof NOW OR NEVER 02,m,25.00
,,327,1156,Štof NOW OR NEVER 61,m,10.00
,,328,608,Štof Orion 101,m,103.31
,,329,241,Štof Orion 102 (Mal. 1249),m,10.00
,,330,948,Štof OVERTHEHORIZON 08,m,17.83
,,331,367,Štof PERFECT HARMONY 01,m,33.90
,,332,348,Štof PERFECT HARMONY 02,m,28.60
,,333,752,Štof PERFECT HARMONY 07,m,20.00
,,334,379,Štof Point 04,m,11.00
,,335,235,Štof Point 13,m,23.50
,,336,240,Štof Point 34,m,85.00
,,337,515,Štof Point 39,m,17.00
,,338,508,Štof Point 86,m,11.00
,,339,623,Štof Point 90,m,11.50
,,340,212,Štof Preston 100,m,38.00
,,341,223,Štof Preston 20,m,145.90
,,342,188,Štof Preston 21,m,42.00
