,,,,,,,
,,,SPISAK PROIZVODA 7.4.2026 PO SADRZAJU,,,,
RB,Id,Modeli,Naziv,Sifra,opis sadrzaj,VRSTA,GRUPA
,1386,MURSAN,MURSAN 120X200 madrac,1370,MADRAC,Gotov proizvod,Metalni
,1387,GOLD,GOLD 160X200 baza + uzglavlje,1371,KREVET,Gotov proizvod,Metalni
,1388,BUBBLE,BUBBLE 140X200 BAZA + UZGLAVLJE,1372,KREVET,Gotov proizvod,Metalni
,1389,VERDI,VERDI 180X200 BAZA + UZGLAVLJE,1373,KREVET,Gotov proizvod,Metalni
,1390,MILANO,MILANO 180X200 madrac,1374,MADRAC,Gotov proizvod,Metalni
,1391,AGRO,AGRO M 160X200 krevet + madrac,1375,KREVET+MADRAC,Gotov proizvod,Drveni
,1393,ARES,ARES 120X200 baza + uzglavlje /,1377,KREVET,Gotov proizvod,Drveni
,1397,ELBA,ELBA M 160X200 krevet + madrac UNIJETI CIJENU,1381,KREVET+MADRAC,Gotov proizvod,Metalni
,1399,BARCELONA,BARCELONA 160X200 baza + uzglavlje UNIJETI CIJENU,1383,KREVET,Gotov proizvod,Metalni
,1400,BARCELONA,BARCELONA 180X200 krevet + madrac UNIJETI CIJENU,1384,KREVET+MADRAC,Gotov proizvod,Metalni
,1401,BARI,BARI 180X200 madrac /,1385,MADRAC,Gotov proizvod,Metalni
,1403,BARI,BARI 180X200 baza + uzglavlje /,1387,KREVET,Gotov proizvod,Metalni
,1404,EASY,EASY 160X200 krevet + madrac UNIJETI CIJENU,1388,KREVET+MADRAC,Gotov proizvod,Drveni
,1405,EASY,EASY 140X200 krevet + madrac UNIJETI CIJENU,1389,KREVET+MADRAC,Gotov proizvod,Drveni
,1407,HELENA,HELENA 160X90 krevet,1391,KREVET,Gotov proizvod,Metalni
,1408,HYIPNOZE,HYPNOZE 180X200 krevet + madrac NOVO,1392,KREVET+MADRAC,Gotov proizvod,Drveni
,1409,HYIPNOZE,HYPNOZE 140X200 krevet + madrac NOVO,1393,KREVET+MADRAC,Gotov proizvod,Drveni
,1410,KING,KING 140X200 krevet + madrac,1394,KREVET+MADRAC,Gotov proizvod,Drveni
,1411,KING,KING 160X200 krevet + madrac,1395,KREVET+MADRAC,Gotov proizvod,Drveni
,1413,TALIA,TALIA 160X200 krevet + madrac,1397,KREVET+MADRAC,Gotov proizvod,Drveni
,1414,VENECIA,VENECIA 160X200 krevet + madrac-UNIJETI CIJENU,1398,KREVET+MADRAC,Gotov proizvod,Metalni
,1416,NEVADA,NEVADA 200X200 baza + uzglavlje /,1400,KREVET,Gotov proizvod,Metalni
,1417,SMART,SMART 160X200 krevet 4 kocke,1401,KREVET,Gotov proizvod,Drveni
,1418,SOFIA,SOFIA 160X200 krevet,1402,KREVET,Gotov proizvod,Drveni
,1419,SILVER,SILVER 160X200 krevet + madrac,1403,KREVET+MADRAC,Gotov proizvod,Drveni
,1420,LINE,LINE 160X200 krevet,1404,KREVET,Gotov proizvod,Drveni
,1421,MADRAC,MADRAC 160X200 (NOVI PUNAC),1405,,Gotov proizvod,Drveni
,1423,SUR,SUR 160X200 madrac,1407,MADRAC,Gotov proizvod,Drveni
,1424,TRIESTE,TRIESTE 160X200 madrac,1408,MADRAC,Gotov proizvod,Drveni
,1426,LUXURY,LUXURY 160X200 madrac,1410,MADRAC,Gotov proizvod,Metalni
,1427,SUR,SUR 160X200 krevet + madrac,1411,KREVET+MADRAC,Gotov proizvod,Drveni
,1428,SUR,SUR 180X200 krevet,1412,KREVET,Gotov proizvod,Drveni
,1429,SUR,SUR 120X200 krevet,1413,KREVET,Gotov proizvod,Drveni
,1430,TRIESTE,TRIESTE 160X200 krevet + madrac,1414,KREVET+MADRAC,Gotov proizvod,Drveni
,1431,MILANO,MILANO 180X200 baza + uzglavlje,1415,KREVET,Gotov proizvod,Metalni
,1433,BARCELONA,BARCELONA 160X200 baza + uzglavlje,1417,KREVET,Gotov proizvod,Metalni
,1434,BARCELONA,BARCELONA 160X200 madrac,1418,MADRAC,Gotov proizvod,Metalni
,1435,BARCELONA,BARCELONA 180X200 baza + uzglavlje,1419,KREVET,Gotov proizvod,Metalni
,1436,BARCELONA,BARCELONA 180X200 madrac,1420,MADRAC,Gotov proizvod,Metalni
,1438,BARCELONA,BARCELONA 120X200 baza + uzglavlje/,1421,KREVET,Gotov proizvod,Metalni
,1443,VENECIA,VENECIA 120X200 krevet + madrac-UNIJETI CIJENU,1426,KREVET+MADRAC,Gotov proizvod,Metalni
,1444,NORD,NORD 160X200 krevet + madrac,1427,KREVET+MADRAC,Gotov proizvod,Drveni
,1445,Štepano,Štepano madrac platno VB 3,1428,,Gotov proizvod,Drveni
,1450,STORM,STORM 180X200 baza + uzglavlje /,1433,KREVET,Gotov proizvod,Metalni
,1452,LUIS,LUIS M 160x200 krevet + madrac UNIJETI CIJENU,1435,KREVET+MADRAC,Gotov proizvod,Drveni
,1454,ELBA,ELBA M 180X200 krevet + madrac,1437,KREVET+MADRAC,Gotov proizvod,Metalni
,1455,ŠTEPANO,ŠTEPANO UZGLAVLJE UZORAK 160X200 AURUM,1438,,Gotov proizvod,Drveni
,1456,STORM,STORM PLUS 180X200 madrac /,1439,MADRAC,Gotov proizvod,Metalni
,1457,STORM,STORM 180X200 madrac /,1440,MADRAC,Gotov proizvod,Metalni
,1458,WIND,WIND PLUS 180X200 madrac /,1441,MADRAC,Gotov proizvod,Drveni
,1459,EVA,EVA 90X200 K+M,1442,KREVET+MADRAC,Gotov proizvod,Metalni
,1460,VERONA,VERONA 140X200 K+M,1443,KREVET+MADRAC,Gotov proizvod,Metalni
,1461,HELENA,HELENA 90X200 krevet + madrac /,1444,KREVET+MADRAC,Gotov proizvod,Metalni
,1463,MERLIN,MERLIN 120X200 krevet + madrac NOVO,1446,KREVET+MADRAC,Gotov proizvod,Drveni
,1465,BARON,BARON 160X200 krevet + madrac,1448,KREVET+MADRAC,Gotov proizvod,Metalni
,1466,DOT,DOT 160X200 krevet + madrac,1449,KREVET+MADRAC,Gotov proizvod,Drveni
,1467,ZVIJEZDA,ZVIJEZDA 160X200 krevet + madrac,1450,KREVET+MADRAC,Gotov proizvod,Drveni
,1468,SAND,SAND 160X200 krevet + madrac,1451,KREVET+MADRAC,Gotov proizvod,Drveni
,1469,MISTERIO,MISTERIO 160X200 krevet + madrac,1452,KREVET+MADRAC,Gotov proizvod,Drveni
,1470,HELENA,HELENA 160X200 madrac,1453,MADRAC,Gotov proizvod,Metalni
,1474,MERLIN,MERLIN 180X200 krevet + madrac,1457,KREVET+MADRAC,Gotov proizvod,Drveni
,1476,ELBA,ELBA M 140x200 krevet + madrac,1459,KREVET+MADRAC,Gotov proizvod,Metalni
,1477,Madrac,Madrac Cirus Plus 180x200,1460,MADRAC,Gotov proizvod,Drveni
,1478,NORMA,NORMA 140x200 krevet + madrac,1461,KREVET+MADRAC,Gotov proizvod,Drveni
